"","game.id","outcome","abbrvs","conference","name","pts","rank"
"223",112,"l","AUB","Southeastern","Auburn",10,26
"224",112,"w","MISS ST","Southeastern","Mississippi State",28,26
"225",113,"l","UCONN","Big East","Connecticut",7,26
"226",113,"w","NCST","Atlantic Coast","North Carolina State",10,26
"227",114,"l","COLS","Mountain West","Colorado State",7,26
"228",114,"w","NDKST","FCS","North Dakota State",22,26
"229",115,"l","TEXSTH","FCS","Texas Southern",7,26
"230",115,"w","NTEX","Sun Belt","North Texas",34,26
"231",116,"l","UNLV","Mountain West","Nevada-Las Vegas",14,26
"232",116,"w","NOAZ","FCS","Northern Arizona",17,26
"233",117,"l","TNMT","FCS","Tennessee-Martin",7,26
"234",117,"w","NIU","Mid-American","Northern Illinois",35,26
"235",118,"l","VAN","Southeastern","Vanderbilt",13,26
"236",118,"w","NU","Big Ten","Northwestern",23,26
"237",119,"l","PUR","Big Ten","Purdue",17,26
"238",119,"w","ND","Independent","Notre Dame",20,22
"239",120,"l","NMSU","Western Athletic","New Mexico State",24,26
"240",120,"w","OHIO","Mid-American","Ohio",51,26
"241",121,"l","UCF","Conference USA","Central Florida",16,26
"242",121,"w","OSU","Big Ten","Ohio State",31,14
"243",122,"l","F A&M","FCS","Florida A&M",13,26
"244",122,"w","OU","Big 12","Oklahoma",69,5
"245",123,"l","FRES","Mountain West","Fresno State",25,26
"246",123,"w","ORE","Pac-12","Oregon",42,4
"247",124,"l","WIS","Big Ten","Wisconsin",7,13
"248",124,"w","ORST","Pac-12","Oregon State",10,26
"249",125,"l","KU","Big 12","Kansas",24,26
"250",125,"w","RICE","Conference USA","Rice",25,26
"251",126,"l","HOW","FCS","Howard",0,26
"252",126,"w","RUT","Big East","Rutgers",26,26
"253",127,"l","COL","Pac-12","Colorado",28,26
"254",127,"w","SACRST","FCS","Sacramento State",30,26
"255",128,"l","ARMY","Independent","Army",7,26
"256",128,"w","SDSU","Mountain West","San Diego State",42,26
"257",129,"l","UC-D","FCS","California-Davis",13,26
"258",129,"w","SJSU","Western Athletic","San Jose State",45,26
"259",130,"l","NICHST","FCS","Nicholls State",3,26
"260",130,"w","SOBAMA","Sun Belt","South Alabama",9,26
"261",131,"l","ECU","Conference USA","East Carolina",10,26
"262",131,"w","SC","Southeastern","South Carolina",48,9
"263",132,"l","NEV","Mountain West","Nevada",31,26
"264",132,"w","SFU","Big East","South Florida",32,26
"265",133,"l","SYR","Big East","Syracuse",29,26
"266",133,"w","USC","Pac-12","Southern California",42,2
"267",134,"l","SFAUST","FCS","Stephen F. Austin",0,26
"268",134,"w","SMU","Conference USA","Southern Methodist",52,26
"269",135,"l","DUKE","Atlantic Coast","Duke",13,26
"270",135,"w","STAN","Pac-12","Stanford",50,25
"271",136,"l","GEORST","FCS","Georgia State",13,26
"272",136,"w","TEN","Southeastern","Tennessee",51,26
"273",137,"l","NM","Mountain West","New Mexico",0,26
"274",137,"w","TEX","Big 12","Texas",45,17
"275",138,"l","GRAMB","FCS","Grambling State",0,26
"276",138,"w","TCU","Big 12","Texas Christian",56,20
"277",139,"l","TEXST","Western Athletic","Texas State",10,26
"278",139,"w","TTU","Big 12","Texas Tech",58,26
"279",140,"l","T A&M-C","Division II","Texas A&M-Commerce",16,26
"280",140,"w","UTSA","Western Athletic","Texas-San Antonio",27,26
"281",141,"l","WYO","Mountain West","Wyoming",31,26
"282",141,"w","TOL","Mid-American","Toledo",34,26
"283",142,"l","TULA","Conference USA","Tulane",10,26
"284",142,"w","TULSA","Conference USA","Tulsa",45,26
"285",143,"l","NEB","Big Ten","Nebraska",30,16
"286",143,"w","UCLA","Pac-12","UCLA",36,26
"287",144,"l","PENN","Big Ten","Penn State",16,26
"288",144,"w","UVA","Atlantic Coast","Virginia",17,26
"289",145,"l","PEAY","FCS","Austin Peay",7,26
"290",145,"w","VT","Atlantic Coast","Virginia Tech",42,15
"291",146,"l","UNC","Atlantic Coast","North Carolina",27,26
"292",146,"w","WAKE","Atlantic Coast","Wake Forest",28,26
"293",147,"l","EWU","FCS","Eastern Washington",20,26
"294",147,"w","WSU","Pac-12","Washington State",24,26
"295",148,"l","EILLN","FCS","Eastern Illinois",21,26
"296",148,"w","WMU","Mid-American","Western Michigan",52,26
"297",149,"l","SFU","Big East","South Florida",13,26
"298",149,"w","RUT","Big East","Rutgers",23,26
"299",150,"l","UNLV","Mountain West","Nevada-Las Vegas",27,26
"300",150,"w","WSU","Pac-12","Washington State",35,26
"301",151,"l","MORG","FCS","Morgan State",6,26
"302",151,"w","AKRON","Mid-American","Akron",66,26
"303",152,"l","ARK","Southeastern","Arkansas",0,26
"304",152,"w","BAMA","Southeastern","Alabama",52,1
"305",153,"l","SCST","FCS","South Carolina State",0,26
"306",153,"w","ARI","Pac-12","Arizona",56,24
"307",154,"l","LA-M","Sun Belt","Louisiana-Monroe",28,26
"308",154,"w","AUB","Southeastern","Auburn",31,26
"309",155,"l","IND","Big Ten","Indiana",39,26
"310",155,"w","BALL","Mid-American","Ball State",41,26
"311",156,"l","SAMH","FCS","Sam Houston State",23,26
