"","week","w.rank","winner","w.pts","location","l.rank","loser","l.pts"
"247","4","Unranked","North Carolina State","52","","Unranked","Citadel","14"
"248","4","Unranked","Northern Illinois","30","","Unranked","Kansas","23"
"249","4","Unranked","Northwestern","38","","Unranked","South Dakota","7"
"250","4","11","Notre Dame","13","","18","Michigan","6"
"251","4","Unranked","Ohio","44","","Unranked","Norfolk State","10"
"252","4","16","Ohio State","29","","Unranked","Alabama-Birmingham","15"
"253","4","3","Oregon","49","","22","Arizona","0"
"254","4","Unranked","Oregon State","27","@","19","UCLA","20"
"255","4","Unranked","Penn State","24","","Unranked","Temple","13"
"256","4","Unranked","Pittsburgh","55","","Unranked","Gardner-Webb","10"
"257","4","Unranked","Rutgers","35","@","Unranked","Arkansas","26"
"258","4","Unranked","San Jose State","38","@","Unranked","San Diego State","34"
"259","4","7","South Carolina","31","","Unranked","Missouri","10"
"260","4","13","Southern California","27","","Unranked","California","9"
"261","4","Unranked","Tennessee","47","","Unranked","Akron","26"
"262","4","Unranked","Texas A&M","70","","Unranked","South Carolina State","14"
"263","4","17","Texas Christian","27","","Unranked","Virginia","7"
"264","4","Unranked","Texas State","41","","Unranked","Stephen F. Austin","37"
"265","4","Unranked","Texas-San Antonio","56","","Unranked","Northwestern Oklahoma State","3"
"266","4","Unranked","Toledo","38","","Unranked","Coastal Carolina","28"
"267","4","Unranked","Troy","14","@","Unranked","North Texas","7"
"268","4","Unranked","Tulsa","27","","Unranked","Fresno State","26"
"269","4","Unranked","Utah State","31","@","Unranked","Colorado State","19"
"270","4","Unranked","Virginia Tech","37","","Unranked","Bowling Green State","0"
"271","4","Unranked","Wake Forest","49","","Unranked","Army","37"
"272","4","8","West Virginia","31","","Unranked","Maryland","21"
"273","4","Unranked","Western Kentucky","42","","Unranked","Southern Mississippi","17"
"274","4","Unranked","Western Michigan","30","","Unranked","Connecticut","24"
"275","4","Unranked","Wisconsin","37","","Unranked","Texas-El Paso","26"
"276","4","Unranked","Wyoming","40","@","Unranked","Idaho","37"
"277","5","Unranked","Washington","17","","8","Stanford","13"
"278","5","Unranked","Brigham Young","47","","Unranked","Hawaii","0"
"279","5","Unranked","Air Force","42","","Unranked","Colorado State","21"
"280","5","1","Alabama","33","","Unranked","Mississippi","14"
"281","5","Unranked","Arizona State","27","@","Unranked","California","17"
"282","5","24","Boise State","32","@","Unranked","New Mexico","29"
"283","5","Unranked","Bowling Green State","48","","Unranked","Rhode Island","8"
"284","5","Unranked","Cincinnati","27","","Unranked","Virginia Tech","24"
"285","5","17","Clemson","45","@","Unranked","Boston College","31"
"286","5","Unranked","Connecticut","24","","Unranked","Buffalo","17"
"287","5","Unranked","Duke","34","@","Unranked","Wake Forest","27"
"288","5","Unranked","East Carolina","28","","Unranked","Texas-El Paso","18"
"289","5","4","Florida State","30","@","Unranked","South Florida","17"
"290","5","Unranked","Fresno State","52","","Unranked","San Diego State","40"
"291","5","5","Georgia","51","","Unranked","Tennessee","44"
"292","5","Unranked","Houston","35","","Unranked","Rice","14"
"293","5","Unranked","Iowa","31","","Unranked","Minnesota","13"
"294","5","Unranked","Kent State","45","","Unranked","Ball State","43"
"295","5","3","Louisiana State","38","","Unranked","Towson","22"
"296","5","Unranked","Louisiana Tech","44","@","Unranked","Virginia","38"
"297","5","Unranked","Louisiana-Lafayette","48","","Unranked","Florida International","20"
"298","5","Unranked","Louisiana-Monroe","63","@","Unranked","Tulane","10"
"299","5","19","Louisville","21","@","Unranked","Southern Mississippi","17"
"300","5","Unranked","Miami FL","44","","Unranked","North Carolina State","37"
"301","5","Unranked","Miami OH","56","@","Unranked","Akron","49"
"302","5","Unranked","Middle Tennessee State","49","@","Unranked","Georgia Tech","28"
"303","5","Unranked","Missouri","21","@","Unranked","Central Florida","16"
"304","5","22","Nebraska","30","","Unranked","Wisconsin","27"
"305","5","Unranked","Nevada","34","@","Unranked","Texas State","21"
"306","5","Unranked","North Carolina","66","","Unranked","Idaho","0"
"307","5","Unranked","North Texas","20","@","Unranked","Florida Atlantic","14"
"308","5","Unranked","Northern Illinois","55","","Unranked","Central Michigan","24"
"309","5","Unranked","Northwestern","44","","Unranked","Indiana","29"
"310","5","Unranked","Ohio","37","@","Unranked","Massachusetts","34"
"311","5","14","Ohio State","17","@","20","Michigan State","16"
"312","5","2","Oregon","51","@","Unranked","Washington State","26"
"313","5","18","Oregon State","38","@","Unranked","Arizona","35"
"314","5","Unranked","Penn State","35","@","Unranked","Illinois","7"
"315","5","Unranked","Purdue","51","","Unranked","Marshall","41"
"316","5","Unranked","San Jose State","12","@","Unranked","Navy","0"
"317","5","6","South Carolina","38","@","Unranked","Kentucky","17"
"318","5","Unranked","Stony Brook","23","@","Unranked","Army","3"
"319","5","12","Texas","41","@","Unranked","Oklahoma State","36"
"320","5","Unranked","Texas A&M","58","","Unranked","Arkansas","10"
"321","5","15","Texas Christian","24","@","Unranked","Southern Methodist","16"
"322","5","Unranked","Texas Tech","24","@","Unranked","Iowa State","13"
"323","5","Unranked","Texas-San Antonio","35","@","Unranked","New Mexico State","14"
"324","5","Unranked","Toledo","37","@","Unranked","Western Michigan","17"
"325","5","Unranked","Troy","31","@","Unranked","South Alabama","10"
"326","5","Unranked","Tulsa","49","@","Unranked","Alabama-Birmingham","42"
"327","5","Unranked","UCLA","42","@","Unranked","Colorado","14"
"328","5","Unranked","Utah State","35","","Unranked","Nevada-Las Vegas","13"
"329","5","9","West Virginia","70","","25","Baylor","63"
"330","5","Unranked","Western Kentucky","26","@","Unranked","Arkansas State","13"
"331","6","Unranked","Arkansas State","34","@","Unranked","Florida International","20"
"332","6","Unranked","Central Florida","40","","Unranked","East Carolina","20"
"333","6","13","Southern California","38","@","Unranked","Utah","28"
"334","6","Unranked","Brigham Young","6","","Unranked","Utah State","3"
"335","6","Unranked","Syracuse","14","","Unranked","Pittsburgh","13"
"336","6","Unranked","Alabama-Birmingham","52","","Unranked","Southeastern Louisiana","3"
"337","6","Unranked","Arkansas","24","@","Unranked","Auburn","7"
"338","6","Unranked","Army","34","","Unranked","Boston College","31"
"339","6","Unranked","Boise State","40","@","Unranked","Southern Mississippi","14"
"340","6","Unranked","Bowling Green State","24","@","Unranked","Akron","10"
"341","6","Unranked","California","43","","25","UCLA","17"
"342","6","Unranked","Cincinnati","52","","Unranked","Miami OH","14"
"343","6","15","Clemson","47","","Unranked","Georgia Tech","31"
"344","6","Unranked","Duke","42","","Unranked","Virginia","17"
"345","6","10","Florida","14","","4","Louisiana State","6"
"346","6","Unranked","Fresno State","28","@","Unranked","Colorado State","7"
"347","6","Unranked","Houston","44","","Unranked","North Texas","21"
"348","6","Unranked","Idaho","26","","Unranked","New Mexico State","18"
