"","game.id","w.id","l.id","week","w.conference","w.abbrvs","w.rank","w.name","w.pts","location","l.pts","l.name","l.rank","l.abbrvs","l.conference"
"627",200,18,60,3,"Pac-12","STAN",21,"Stanford",21,"",14,"Southern California",2,"USC","Pac-12"
"655",201,117,126,3,"Big East","SYR",26,"Syracuse",28,"",17,"Stony Brook",26,"STBRK","FCS"
"427",202,62,43,3,"Big 12","TEX",14,"Texas",66,"@",31,"Mississippi",26,"OLE","Southeastern"
"636",203,118,104,3,"Southeastern","TAMU",26,"Texas A&M",48,"@",3,"Southern Methodist",26,"SMU","Conference USA"
"310",204,105,37,3,"Big 12","TCU",16,"Texas Christian",20,"@",6,"Kansas",26,"KU","Big 12"
"481",205,64,48,3,"Big 12","TTU",26,"Texas Tech",49,"",14,"New Mexico",26,"NM","Mountain West"
"489",206,119,11,3,"Conference USA","UT-EP",26,"Texas-El Paso",41,"",28,"New Mexico State",26,"NMSU","Western Athletic"
"230",207,65,176,3,"Western Athletic","UTSA",26,"Texas-San Antonio",38,"@",14,"Georgia State",26,"GEORST","FCS"
"99",208,106,80,3,"Mid-American","TOL",26,"Toledo",27,"",15,"Bowling Green State",26,"BG","Mid-American"
"495",209,107,174,3,"Conference USA","TULSA",26,"Tulsa",66,"",16,"Nicholls State",26,"NICHST","FCS"
"251",210,13,125,3,"Pac-12","UCLA",22,"UCLA",37,"",6,"Houston",26,"HOU","Conference USA"
"101",211,14,3,3,"Pac-12","UTAH",26,"Utah",24,"",21,"Brigham Young",25,"BYU","Independent"
"561",212,120,166,3,"Southeastern","VAN",26,"Vanderbilt",58,"",0,"Presbyterian",26,"PRESB","FCS"
"560",213,69,190,3,"Pac-12","WASH",26,"Washington",52,"",13,"Portland State",26,"PORTST","FCS"
"307",214,70,191,3,"Big 12","WV",9,"West Virginia",42,"",12,"James Madison",26,"JAMES","FCS"
"332",215,71,86,3,"Sun Belt","WKU",26,"Western Kentucky",32,"@",31,"Kentucky",26,"UK","Southeastern"
"755",216,72,15,3,"Big Ten","WIS",26,"Wisconsin",16,"",14,"Utah State",26,"UTST","Western Athletic"
"110",217,8,81,4,"Mid-American","KENT",26,"Kent State",23,"@",7,"Buffalo",26,"BUF","Mid-American"
"102",218,112,3,4,"Mountain West","BST",24,"Boise State",7,"",6,"Brigham Young",26,"BYU","Independent"
"349",219,74,88,4,"Big 12","BAY",26,"Baylor",47,"@",42,"Louisiana-Monroe",26,"LA-M","Sun Belt"
"206",220,22,16,4,"Southeastern","BAMA",1,"Alabama",40,"",7,"Florida Atlantic",26,"FAU","Sun Belt"
"753",221,1,14,4,"Pac-12","ASU",26,"Arizona State",37,"",7,"Utah",26,"UTAH","Pac-12"
"30",222,78,192,4,"Sun Belt","ARKST",26,"Arkansas State",56,"",0,"Alcorn State",26,"ALCORN","FCS"
"613",223,2,59,4,"Mid-American","BALL",26,"Ball State",31,"",27,"South Florida",26,"SFU","Big East"
"290",224,5,35,4,"Mid-American","CMU",26,"Central Michigan",32,"@",31,"Iowa",26,"IOWA","Big Ten"
"793",225,121,108,4,"Pac-12","COL",26,"Colorado",35,"@",34,"Washington State",26,"WSU","Pac-12"
