"","game.id","week","w.id","w.conference","w.name","w.abbrvs","w.rank","w.pts","location","l.pts","l.rank","l.abbrvs","l.name","l.conference","l.id"
"456",143,2,183,"Pac-12","UCLA","UCLA",26,36,"",30,16,"NEB","Nebraska","Big Ten",104
"549",144,2,188,"Atlantic Coast","Virginia","UVA",26,17,"",16,26,"PENN","Penn State","Big Ten",132
"72",145,2,190,"Atlantic Coast","Virginia Tech","VT",15,42,"",7,26,"PEAY","Austin Peay","FCS",14
"500",146,2,192,"Atlantic Coast","Wake Forest","WAKE",26,28,"",27,26,"UNC","North Carolina","Atlantic Coast",112
"195",147,2,194,"Pac-12","Washington State","WSU",26,24,"",20,26,"EWU","Eastern Washington","FCS",44
"183",148,2,200,"Mid-American","Western Michigan","WMU",26,52,"",21,26,"EILLN","Eastern Illinois","FCS",41
"613",149,3,140,"Big East","Rutgers","RUT",26,23,"@",13,26,"SFU","South Florida","Big East",152
"471",150,3,194,"Pac-12","Washington State","WSU",26,35,"@",27,26,"UNLV","Nevada-Las Vegas","Mountain West",106
"446",151,3,2,"Mid-American","Akron","AKRON",26,66,"",6,26,"MORG","Morgan State","FCS",101
"49",152,3,3,"Southeastern","Alabama","BAMA",1,52,"@",0,26,"ARK","Arkansas","Southeastern",10
"608",153,3,8,"Pac-12","Arizona","ARI",24,56,"",0,26,"SCST","South Carolina State","FCS",149
"349",154,3,13,"Southeastern","Auburn","AUB",26,31,"",28,26,"LA-M","Louisiana-Monroe","Sun Belt",83
"282",155,3,15,"Mid-American","Ball State","BALL",26,41,"@",39,26,"IND","Indiana","Big Ten",67
"583",156,3,16,"Big 12","Baylor","BAY",26,48,"",23,26,"SAMH","Sam Houston State","FCS",142
"401",157,3,18,"Mountain West","Boise State","BST",26,39,"",12,26,"MIA-O","Miami OH","Mid-American",92
"834",158,3,23,"FCS","Cal Poly","CAL-P",26,24,"@",22,26,"WYO","Wyoming","Mountain West",204
"214",159,3,27,"Conference USA","Central Florida","UCF",26,33,"",20,26,"FIU","Florida International","Sun Belt",49
"170",160,3,31,"Big East","Cincinnati","CIN",26,23,"",7,26,"DELST","Delaware State","FCS",38
"225",161,3,33,"Atlantic Coast","Clemson","CLEM",11,41,"",7,26,"FUR","Furman","FCS",53
"367",162,3,37,"Big East","Connecticut","UCONN",26,24,"@",21,26,"MARY","Maryland","Atlantic Coast",87
"503",163,3,39,"Atlantic Coast","Duke","DUKE",26,54,"",17,26,"NCC","North Carolina Central","FCS",113
"639",164,3,40,"Conference USA","East Carolina","ECU",26,24,"@",14,26,"SO MISS","Southern Mississippi","Conference USA",159
"673",165,3,46,"Southeastern","Florida","UF",18,37,"@",20,23,"TEN","Tennessee","Southeastern",166
"779",166,3,50,"Atlantic Coast","Florida State","FSU",5,52,"",0,26,"WAKE","Wake Forest","Atlantic Coast",192
"144",167,3,52,"Mountain West","Fresno State","FRES",26,69,"",14,26,"COL","Colorado","Pac-12",35
"202",168,3,55,"Southeastern","Georgia","UGA",7,56,"",20,26,"FAU","Florida Atlantic","Sun Belt",48
"762",169,3,58,"Atlantic Coast","Georgia Tech","GT",26,56,"",20,26,"UVA","Virginia","Atlantic Coast",188
"334",170,3,60,"Mountain West","Hawaii","HAW",26,54,"",2,26,"LAMAR","Lamar","FCS",78
"135",171,3,65,"Big Ten","Illinois","IL",26,44,"",0,26,"CHSOU","Charleston Southern","FCS",29
"523",172,3,69,"Big Ten","Iowa","IOWA",26,27,"",16,26,"UNI","Northern Iowa","FCS",121
"810",173,3,70,"Big 12","Iowa State","ISU",26,37,"",3,26,"W ILLN","Western Illinois","FCS",198
"515",174,3,75,"Big 12","Kansas State","KSU",15,35,"",21,26,"NTEX","North Texas","Sun Belt",117
"259",175,3,80,"Southeastern","Louisiana State","LSU",3,63,"",14,26,"ID","Idaho","Western Athletic",63
"576",176,3,81,"Western Athletic","Louisiana Tech","LTU",26,56,"",37,26,"RICE","Rice","Conference USA",138
"502",177,3,84,"Big East","Louisville","LOU",19,39,"",34,26,"UNC","North Carolina","Atlantic Coast",112
"83",178,3,91,"Atlantic Coast","Miami FL","MIA",26,38,"",10,26,"BETHCK","Bethune-Cookman","FCS",17
"377",179,3,93,"Big Ten","Michigan","MICH",17,63,"",13,26,"UMASS","Massachusetts","Mid-American",88
"384",180,3,95,"Sun Belt","Middle Tennessee State","MTSU",26,48,"@",30,26,"MEM","Memphis","Conference USA",90
"822",181,3,96,"Big Ten","Minnesota","MINN",26,28,"",23,26,"WMU","Western Michigan","Mid-American",200
"726",182,3,98,"Southeastern","Mississippi State","MISS ST",26,30,"@",24,26,"TROY","Troy","Sun Belt",180
"37",183,3,99,"Southeastern","Missouri","MIZZ",26,24,"",20,26,"ASU","Arizona State","Pac-12",9
"50",184,3,104,"Big Ten","Nebraska","NEB",26,42,"",13,26,"ARKST","Arkansas State","Sun Belt",11
"530",185,3,105,"Mountain West","Nevada","NEV",26,45,"",34,26,"NWST","Northwestern State","FCS",124
"604",186,3,114,"Atlantic Coast","North Carolina State","NCST",26,31,"",7,26,"SOBAMA","South Alabama","Sun Belt",147
"56",187,3,120,"Mid-American","Northern Illinois","NIU",26,41,"@",40,26,"ARMY","Army","Independent",12
"87",188,3,122,"Big Ten","Northwestern","NU",26,22,"",13,26,"BC","Boston College","Atlantic Coast",19
"412",189,3,125,"Independent","Notre Dame","ND",20,20,"@",3,10,"MSU","Michigan State","Big Ten",94
"355",190,3,126,"Mid-American","Ohio","OHIO",26,27,"@",24,26,"MAR ","Marshall","Conference USA",86
"115",191,3,127,"Big Ten","Ohio State","OSU",12,35,"",28,26,"CAL","California","Pac-12",24
"343",192,3,129,"Big 12","Oklahoma State","OKST",26,65,"",24,26,"LA-L","Louisiana-Lafayette","Sun Belt",82
"675",193,3,130,"Pac-12","Oregon","ORE",4,63,"",14,26,"TENN TECH","Tennessee Tech","FCS",167
"449",194,3,132,"Big Ten","Penn State","PENN",26,34,"",7,26,"NAVY","Navy","Independent",103
"773",195,3,133,"Big East","Pittsburgh","PITT",26,35,"",17,13,"VT","Virginia Tech","Atlantic Coast",190
"191",196,3,136,"Big Ten","Purdue","PUR",26,54,"",16,26,"EMU","Eastern Michigan","Mid-American",43
"510",197,3,144,"Mountain West","San Diego State","SDSU",26,49,"",41,26,"NDK","North Dakota","FCS",115
"157",198,3,145,"Western Athletic","San Jose State","SJSU",26,40,"",20,26,"COLS","Colorado State","Mountain West",36
"28",199,3,148,"Southeastern","South Carolina","SC",8,49,"",6,26,"UAB","Alabama-Birmingham","Conference USA",5
"628",200,3,161,"Pac-12","Stanford","STAN",21,21,"",14,2,"USC","Southern California","Pac-12",156
"655",201,3,164,"Big East","Syracuse","SYR",26,28,"",17,26,"STBRK","Stony Brook","FCS",163
"430",202,3,169,"Big 12","Texas","TEX",14,66,"@",31,26,"OLE","Mississippi","Southeastern",97
"631",203,3,170,"Southeastern","Texas A&M","TAMU",26,48,"@",3,26,"SMU","Southern Methodist","Conference USA",158
"310",204,3,172,"Big 12","Texas Christian","TCU",16,20,"@",6,26,"KU","Kansas","Big 12",74
"481",205,3,175,"Big 12","Texas Tech","TTU",26,49,"",14,26,"NM","New Mexico","Mountain West",108
"484",206,3,176,"Conference USA","Texas-El Paso","UT-EP",26,41,"",28,26,"NMSU","New Mexico State","Western Athletic",109
"230",207,3,177,"Western Athletic","Texas-San Antonio","UTSA",26,38,"@",14,26,"GEORST","Georgia State","FCS",57
"96",208,3,178,"Mid-American","Toledo","TOL",26,27,"",15,26,"BG","Bowling Green State","Mid-American",20
"496",209,3,182,"Conference USA","Tulsa","TULSA",26,66,"",16,26,"NICHST","Nicholls State","FCS",110
"254",210,3,183,"Pac-12","UCLA","UCLA",22,37,"",6,26,"HOU","Houston","Conference USA",61
"102",211,3,184,"Pac-12","Utah","UTAH",26,24,"",21,25,"BYU","Brigham Young","Independent",21
"561",212,3,186,"Southeastern","Vanderbilt","VAN",26,58,"",0,26,"PRESB","Presbyterian","FCS",135
"560",213,3,193,"Pac-12","Washington","WASH",26,52,"",13,26,"PORTST","Portland State","FCS",134
"307",214,3,196,"Big 12","West Virginia","WV",9,42,"",12,26,"JAMES","James Madison","FCS",73
"329",215,3,199,"Sun Belt","Western Kentucky","WKU",26,32,"@",31,26,"UK","Kentucky","Southeastern",77
"755",216,3,202,"Big Ten","Wisconsin","WIS",26,16,"",14,26,"UTST","Utah State","Western Athletic",185
"112",217,4,76,"Mid-American","Kent State","KENT",26,23,"@",7,26,"BUF","Buffalo","Mid-American",22
"105",218,4,18,"Mountain West","Boise State","BST",24,7,"",6,26,"BYU","Brigham Young","Independent",21
"348",219,4,16,"Big 12","Baylor","BAY",26,47,"@",42,26,"LA-M","Louisiana-Monroe","Sun Belt",83
"206",220,4,3,"Southeastern","Alabama","BAMA",1,40,"",7,26,"FAU","Florida Atlantic","Sun Belt",48
"752",221,4,9,"Pac-12","Arizona State","ASU",26,37,"",7,26,"UTAH","Utah","Pac-12",184
"30",222,4,11,"Sun Belt","Arkansas State","ARKST",26,56,"",0,26,"ALCORN","Alcorn State","FCS",6
"611",223,4,15,"Mid-American","Ball State","BALL",26,31,"",27,26,"SFU","South Florida","Big East",152
